"b6Zj","Derek3",0.03,358
"o5XQ","Isabella",0.07,896
"M9XN","chefappapleaj",0.06,709
"O9ha","Brown",0.03,462
"p3rE","Sierra1",0.03,309
"o6Da","Gwendolyn",0.03,337
"J4vI","Adams",0.05,655
"t6lc","Colette.Hale",0.03,362
"B4fy","snowwhite5831i",0.08,993
"J8Av","Lucy9",0.06,659
"h0fv","Beach",0.05,700
"j2se","Howard",0.02,260
"I7vk","Scott.Shields",0.08,996
"j5Qi","Dillon.Richards",0.06,887
"B9pt","Dillon.Richards",0.04,596
"M5Nq","Marks",0.08,909
"u2ad","Reed4",0.05,689
"q4xy","crashtest17tf",0.07,844
"j8ut","Sierra1",0.07,922
"a6hx","Roth.Poole",0.03,378
"P0eU","vitaleno4",0.01,10
"w5kF","Roth.Poole",0.05,632
"W5Uo","treseluu",0.05,654
"L8kK","Janna.David",0.07,950
"k6NQ","Beach",0.06,757
"M2LW","Brown",0.06,717
"O7oM","vitaleno4",0.01,10
"T4CT","Roth.Poole",0.02,261
"T8Op","Howard",0.03,353
"G5Uz","Sierra1",0.04,457
"S1qP","Adams",0.08,914
"V4EC","Brennan",0.04,584
"s8BX","Howard",0.03,280
"X2vp","Reed4",0.05,650
"J6SQ","Candice1",0.03,444
"L9VF","Brennan",0.02,268
"t4wL","Candice1",0.06,821
"f3at","Sierra1",0.02,216
"x0Jp","Hedwig.Kennedy",0.04,509
"Y5Fs","Athena10",0.03,460
"a4Rx","Isabella",0.04,452
"k5lL","crashtest17tf",0.03,409
"j6vv","snowwhite5831i",0.07,826
"Z3Vb","Adams",0.02,297
"S6tI","Katell.Webb",0.07,938
"I4eC","Brennan",0.06,916
"H9rh","Madison.Flores",0.05,788
"O9Of","crashtest17tf",0.04,478
"d4TC","quenquaf9",0.05,630
"j9Rl","Hedwig.Kennedy",0.06,767
"O1RQ","shaihkritzercl",0.07,939
"y5ZY","Katell.Webb",0.01,12
"P2ey","Carson.Stuart",0.05,581
"X9rb","Isabella",0.02,280
"K8UZ","Howard",0.07,851
"g6rZ","crashtest17tf",0.08,926
"U6di","Scott.Shields",0.04,491
"I1Xm","chefappapleaj",0.05,535
"c7nI","Isabella.Wiggins",0.06,917
"N3OO","Isabella.Wiggins",0.03,375
"i4TC","oslanjateox",0.02,222
"h8Av","Idona1",0.03,375
"W0TA","Callie4",0.06,883
"x5Uq","chefappapleaj",0.03,349
"A9QE","vitaleno4",0.02,225
"I4rp","snowwhite5831i",0.07,943
"A6tS","Brown",0.06,641
"Q7zm","Webb",0.02,223
"j1gr","Hedwig.Kennedy",0.02,365
"X8Mb","Adams",0.02,219
"d8ss","Candice1",0.06,746
"b4SN","Hedley8",0.05,654
"z4Tq","Sierra1",0.06,762
"D6Kn","Derek3",0.05,709
"S1mi","Isabella.Wiggins",0.03,390
"Q4ai","Marks",0.08,963
"o2Tq","shaihkritzercl",0.02,275
"r3tY","Derek3",0.04,500
"n4TX","Hedwig.Kennedy",0.07,869
"Q2eF","Hedwig5",0.02,316
"j0lI","crashtest17tf",0.02,204
"j2cc","Reed4",0.06,710
"y1DQ","Sierra1",0.09,982
"H2OI","Lucy9",0.06,642
"u5qo","ovularas4a",0.03,337
"H2dJ","Marks",0.05,701
"U3cB","ovularas4a",0.05,762
"K7Ra","Lucy9",0.07,772
"g5AL","Cameran2",0.02,308
"x5Yc","Beach",0.05,623
"M6Fy","Katell.Webb",0.06,710
"G6qO","Isabella",0.08,963
"v4oe","Brennan",0.05,565
"D7QY","ovularas4a",0.05,648
"O0zH","Roth.Poole",0.02,296
"A4hG","ovularas4a",0.04,464
"z8jC","Dillon.Richards",0.03,373
"k4IT","Isabella.Wiggins",0.06,886
"Z5ig","Webb",0.04,520
"F7uu","Lucy9",0.07,814
